Date,Section,Title,Sentiment Score,Sentiment Interpretation
31/10/2024,Books,What we’re reading: writers and readers on the books they enjoyed in October,0.9881,Positive
31/10/2024,Books,"Australian Gospel: A Family Saga by Lech Blaine review – a sensational tale, skilfully told",0.996,Positive
31/10/2024,Books,The Unfinished Harauld Hughes by Richard Ayoade review – comic novel or conceptual art project?,0.9876,Positive
31/10/2024,Books,Lower Than the Angels by Diarmaid MacCulloch review – sex and the church,0.8227,Positive
31/10/2024,Books,The Hotel by Daisy Johnson review – chilling tales for Halloween,-0.9951,Negative
13/10/2024,Books,From Here to the Great Unknown by Lisa Marie Presley and Riley Keough review – a book built on grief,-0.9906,Negative
13/10/2024,Books,The Drowned by John Banville review – death and drizzle in 50s Ireland,-0.9905,Negative
13/10/2024,Books,‘Immensely private’: inside great sketchbooks from history,0.9977,Positive
13/10/2024,Books,The Place of Tides by James Rebanks review – a warming tale of gathering eiderdown in Norway,-0.1677,Negative
13/10/2024,Books,‘He knew this was going to be the last story he wrote’: the epic legacy of literary maverick Biyi Bándélé,0.9975,Positive
13/10/2024,Books,Fire Exit by Morgan Talty review – beautifully crafted debut set in a Native community in the US,0.9639,Positive
13/10/2024,Books,‘A street-boy throwing stones at pompous windows’: Claud Cockburn and the birth of guerrilla journalism,-0.9449,Negative
13/10/2024,Books,"In brief: The Catchers; Poet, Mystic, Widow, Wife; Every Man for Himself and God Against All – review",0.9374,Positive
13/10/2024,Books,The Care Dilemma by David Goodhart review – a flawed study of family life,0.9966,Positive
05/10/2024,Books,Zoë Foster Blake: ‘I’d fight Moo Deng. She would win’,0.9993,Positive
05/10/2024,Books,Boy whose Mousetrap show at school led to legal threat joins West End cast,0.991,Positive
05/10/2024,Books,Nobel prize winner Olga Tokarczuk: ‘We live with violence and misogyny like some sort of constant illness’,0.9913,Positive
05/10/2024,Books,‘This guy was shady’: Zeppo Marx’s underworld links revealed in new book,0.9967,Positive
05/10/2024,Books,Discovered: a lost possible inspiration for Virginia Woolf’s Mrs Dalloway,0.9986,Positive
05/10/2024,Books,Attica Locke on the US election: ‘It’s white Americans that have to fix this’,0.988,Positive
05/10/2024,Books,Why Fish Don’t Exist by Lulu Miller review – a marvel of narrative non fiction,-0.991,Negative
17/10/2024,Books,Siri Hustvedt to write a book about her late husband Paul Auster,-0.9392,Negative
17/10/2024,Books,"The Burrow by Melanie Cheng review – a tender, compelling story of family and grief",-0.9955,Negative
