Date,Section,Title,Sentiment Score,Sentiment Interpretation,Web url
31/10/2024,US news,Trump lawyer Kenneth Chesebro barred from practicing law in New York,-0.981,Negative,https://www.theguardian.com/us-news/2024/oct/31/trump-lawyer-kenneth-chesebro-suspended
31/10/2024,US news,Amazon donates to group backing hardline anti-abortion Republican,0.9867,Positive,https://www.theguardian.com/us-news/2024/oct/31/amazon-doordash-cvs-fund-anti-abortion-republican
31/10/2024,US news,Alaska governor awards $1m in state funds to Indigenous group backing oil drilling,0.2316,Positive,https://www.theguardian.com/us-news/2024/oct/31/alaska-indigenous-oil-drilling
31/10/2024,US news,Elon Musk skips hearing as $1m election giveaway case moves to federal court,-0.6135,Negative,https://www.theguardian.com/us-news/2024/oct/31/elon-musk-court-hearing-voter-lottery
31/10/2024,US news,Nevada is in a profound economic rut. Its working-class voters could swing the election,0.9985,Positive,https://www.theguardian.com/us-news/2024/oct/31/trump-harris-workers-nevada
31/10/2024,US news,Six racist and bigoted comments you might have missed from Trump’s New York rally,-0.9953,Negative,https://www.theguardian.com/us-news/2024/oct/31/six-racist-bigoted-comments-trump-madison-square-garden
31/10/2024,US news,"Democrats press for congressional seats in once-red Orange county: ‘If we sit on our asses, we lose’",0.9986,Positive,https://www.theguardian.com/us-news/2024/oct/31/election-orange-county-california
31/10/2024,US news,Musk’s get-out-the-vote workers didn’t know they were canvassing for Trump – report,-0.7964,Negative,https://www.theguardian.com/technology/2024/oct/31/canvassers-musk-get-out-the-vote-effort
31/10/2024,US news,"In Michigan, attack ads are inescapable. Are they changing any minds?",-0.9798,Negative,https://www.theguardian.com/us-news/2024/oct/31/presidential-election-attack-ads-michigan
31/10/2024,US news,Heat is on for Halloween as record temperatures forecast for much of US,-0.8094,Negative,https://www.theguardian.com/us-news/2024/oct/31/halloween-high-temperatures
31/10/2024,US news,"How will the outcome of the US election affect Australia, Aukus and our region?",0.5451,Positive,https://www.theguardian.com/us-news/2024/nov/01/us-election-2024-result-trump-harris-presidency-australia-impact
31/10/2024,US news,Donald Trump vows to be protector of women ‘whether they like it or not’,0.9879,Positive,https://www.theguardian.com/us-news/2024/oct/31/donald-trump-women-protector-wisconsin-rally
31/10/2024,US news,Democrats work to make sure Black men see their place in Harris’s big tent,0.9819,Positive,https://www.theguardian.com/us-news/2024/oct/31/democrats-harris-trump-black-men
31/10/2024,US news,Harris hails first-time and gen Z voters at Wisconsin rally | First Thing,-0.9969,Negative,https://www.theguardian.com/us-news/2024/oct/31/first-thing-harris-hails-first-time-and-gen-z-voters-at-wisconsin-rally
31/10/2024,US news,"Five days out, Arab Americans are split on Harris v Trump: vote ‘strategically’ or ‘morally’?",-0.7822,Negative,https://www.theguardian.com/us-news/2024/oct/31/arab-americans-harris-trump-vote-election
31/10/2024,US news,"Political violence in US could surge after elections, experts warn",-0.9984,Negative,https://www.theguardian.com/us-news/2024/oct/31/election-political-violence-surge
31/10/2024,US news,Conspiracy of silence? Why business leaders are so quiet on Trump,0.9855,Positive,https://www.theguardian.com/us-news/2024/oct/31/business-leaders-trump-election
31/10/2024,US news,Opinion polls have Harris and Trump locked in a tight race. ‘Gambling polls’ say otherwise,0.9989,Positive,https://www.theguardian.com/us-news/2024/oct/31/election-betting-presidential-odds-polling
