Date,Section,Title,Sentiment Score,Sentiment Interpretation,Web url
31/10/2024,World news,Marielle Franco murder: ex-police jailed for decades over crime that shook Brazil,-0.9974,Negative,https://www.theguardian.com/world/2024/oct/31/marielle-franco-brazil-murder-former-police-officers-sentenced
31/10/2024,World news,"‘It was a trap’: flood alert came too late for residents of Paiporta, Spain",-0.9828,Negative,https://www.theguardian.com/world/2024/oct/31/it-was-a-trap-flood-alert-came-too-late-for-residents-of-paiporta-spain
31/10/2024,World news,"About 8,000 North Korean soldiers at Ukraine border, says US",-0.971,Negative,https://www.theguardian.com/world/2024/oct/31/north-korean-soldiers-at-ukraine-border-says-us
31/10/2024,World news,Anti-abortion activists set up outside clinic ‘safe zones’ on first day of new law in England,0.9,Positive,https://www.theguardian.com/world/2024/oct/31/anti-abortion-activists-set-up-outside-clinic-safe-zones-on-first-day-of-new-law-in-england
31/10/2024,World news,"UN should consider suspending Israel over ‘genocide’ against Palestinians, says special rapporteur",-0.9966,Negative,https://www.theguardian.com/world/2024/oct/31/un-should-consider-suspending-israel-over-genocide-against-palestinians-says-special-rapporteur
31/10/2024,World news,Mohamed Al Fayed’s victims call for Harrods boycott,-0.9982,Negative,https://www.theguardian.com/world/2024/oct/31/mohamed-al-fayed-victims-call-for-harrods-boycott
31/10/2024,World news,US attempts to broker ceasefire as civilians killed in Lebanon and Israel,-0.9972,Negative,https://www.theguardian.com/world/2024/oct/31/us-attempts-to-broker-ceasefire-as-civilians-killed-in-lebanon-and-israel
31/10/2024,World news,Tito Mboweni obituary,-0.7343,Negative,https://www.theguardian.com/world/2024/oct/31/tito-mboweni-obituary
31/10/2024,World news,"Final recount confirms Georgia ruling party victory, says electoral commission",0.858,Positive,https://www.theguardian.com/world/2024/oct/31/georgia-election-final-recount-ruling-party-victory-electoral-commission
31/10/2024,World news,Spain floods death toll passes 150 as country begins three days of mourning,-0.9994,Negative,https://www.theguardian.com/world/2024/oct/31/spain-floods-valencia-death-toll-three-days-mourning
31/10/2024,World news,Canada judge halts medically assisted death of woman in rare injunction,-0.9963,Negative,https://www.theguardian.com/world/2024/oct/31/canada-medically-assisted-death-judge-ruling
31/10/2024,World news,Typhoon Kong-rey: biggest storm in decades wreaks destruction in Taiwan,-0.9953,Negative,https://www.theguardian.com/world/2024/oct/31/typhoon-kong-rey-taiwan-storm-tracker-weather
31/10/2024,World news,"UK urged to break with France, North Korea and Russia on UN nuclear war resolution",-0.9938,Negative,https://www.theguardian.com/world/2024/oct/31/uk-urged-break-france-north-korea-russia-un-nuclear-war-resolution
31/10/2024,World news,Sweden abolishes tax on plastic bags despite warnings usage could rise,-0.9185,Negative,https://www.theguardian.com/world/2024/oct/31/sweden-abolishes-tax-on-plastic-bags-warnings-usage-could-rise
31/10/2024,World news,EU launches action against shopping website Temu over illegal products,0.9708,Positive,https://www.theguardian.com/world/2024/oct/31/eu-launches-action-against-shopping-website-temu-over-products
31/10/2024,World news,‘The Arabs will disappear’: emboldened Israeli settlers eye return to Gaza,-0.8435,Negative,https://www.theguardian.com/world/2024/oct/31/israeli-settlers-eye-return-to-gaza
31/10/2024,World news,"North Korea missile test reaches record height and duration, says Japan",-0.886,Negative,https://www.theguardian.com/world/2024/oct/31/north-korea-missile-test-record-height-icbm-japan
31/10/2024,World news,Village in India where Harris is ‘daughter of the land’ on edge as US election looms,0.9994,Positive,https://www.theguardian.com/world/2024/oct/31/india-village-kamala-harris-support-election
31/10/2024,World news,Spain flood death toll expected to rise amid anger over lack of preparedness,-0.9977,Negative,https://www.theguardian.com/world/2024/oct/31/spain-floods-death-toll-valencia-missing-people
31/10/2024,World news,Anti-abortion advocate Joanna Howe banned from South Australia’s upper house for alleged ‘threatening’ tactics towards politicians,-0.921,Negative,https://www.theguardian.com/world/2024/oct/31/anti-abortion-advocate-joanna-howe-banned-from-south-australias-upper-house-for-alleged-threatening-tactics-ntwnfb
31/10/2024,World news,Thursday briefing: What you need to know about Rachel Reeves’s plans for the economy,0.9986,Positive,https://www.theguardian.com/world/2024/oct/31/thursday-briefing-what-you-need-to-know-about-rachel-reevess-plans-for-the-economy
31/10/2024,World news,‘We built Brazil’: how descendants of enslaved Africans have helped shape the country,-0.9813,Negative,https://www.theguardian.com/world/2024/oct/31/brazil-descendants-enslaved-africans-black-people-history
31/10/2024,World news,‘I couldn’t cry over my children like everyone else’: the tragedy of Palestinian journalist Wael al-Dahdouh,-0.9999,Negative,https://www.theguardian.com/world/2024/oct/31/wael-al-dahdouh-gaza-palestinian-journalist-tragedy
