Section Name,Date,Web Title,Web URL
World news,31/10/2024,Spain floods death toll passes 150 as country begins three days of mourning,https://www.theguardian.com/world/2024/oct/31/spain-floods-valencia-death-toll-three-days-mourning
Music,31/10/2024,"Fishing lines, mobile phones and Wirral wind: the oddly harmonious music of Ex-Easter Island Head",https://www.theguardian.com/music/2024/oct/31/fishing-lines-mobile-phones-and-wirral-wind-the-oddly-harmonious-music-of-ex-easter-island-head
World news,31/10/2024,Spain flood death toll expected to rise amid anger over lack of preparedness,https://www.theguardian.com/world/2024/oct/31/spain-floods-death-toll-valencia-missing-people
Society,13/10/2024,Paralysed right-to-die activist ‘would be livid’ over lack of change to laws,https://www.theguardian.com/society/2024/oct/14/tony-nicklinson-family-right-to-die-campaigner-assisted-dying-bill
US news,13/10/2024,Joe Biden set to visit Germany to discuss Ukraine and Middle East,https://www.theguardian.com/us-news/2024/oct/13/joe-biden-to-visit-germany-to-discuss-ukraine-and-middle-east
Society,13/10/2024,"Guilt, worry, resentment: how the ‘club sandwich’ generation juggles caring for parents, children and grandparents",https://www.theguardian.com/society/2024/oct/13/guilt-worry-resentment-its-all-part-of-the-sandwich-generation
World news,17/10/2024,EU considers offshore centres for deportees as it hardens on migration,https://www.theguardian.com/world/2024/oct/17/clashes-expected-at-eu-summit-as-migration-return-hubs-top-agenda
Football,17/10/2024,Anthony Barry brings homegrown flavour to Thomas Tuchel’s England,https://www.theguardian.com/football/2024/oct/17/anthony-barry-homegrown-thomas-tuchel-england-assistant
World news,26/10/2024,After Pelicot: how one woman’s courage has pushed France to a turning point,https://www.theguardian.com/world/2024/oct/26/gisele-pelicot-france-rape-trial-law-debate
World news,03/10/2024,Pro-choice Catholics protest at Vatican after abortion left off summit agenda,https://www.theguardian.com/world/2024/oct/03/pro-choice-catholics-stage-protest-after-abortion-left-off-summit-agenda
World news,03/10/2024,Dutch court fines man in first conviction under new sexual harassment law,https://www.theguardian.com/world/2024/oct/03/netherlands-dutch-court-rotterdam-man-fined-sexual-harassment-law
Football,04/10/2024,Premier League rejects Manchester City’s plea for longer summer break,https://www.theguardian.com/football/2024/oct/04/premier-league-rejects-manchester-citys-plea-for-longer-summer-break
Australia news,20/10/2024,The ‘active transport’ ideas from around the world that could make Australians healthier and our cities cleaner,https://www.theguardian.com/australia-news/2024/oct/21/the-active-transport-ideas-from-around-the-world-that-could-make-australians-healthier-and-our-cities-cleaner
UK news,10/10/2024,"Digger stolen from Dorset found 1,200 miles away in rural Poland",https://www.theguardian.com/uk-news/2024/oct/10/digger-stolen-from-dorset-found-in-rural-poland
Football,22/10/2024,‘Never so angry’: Guardiola underlines Stones’ value by recalling fury at England injury,https://www.theguardian.com/football/2024/oct/22/manchester-city-pep-guardiola-john-stones-england-injury-angry
Football,22/10/2024,‘Our Euros start now’: Stanway seeks Lionesses spark before Germany game,https://www.theguardian.com/football/2024/oct/22/england-germany-lionesses-friendly-georgia-stanway
Global development,22/10/2024,"How a plastic cave made in Spain keeps Amazonian culture alive 5,000 miles away",https://www.theguardian.com/global-development/2024/oct/22/brazil-amazonian-indigenous-culture-kamukuwaka-wauja-sacred-cave-replica-xingu-museum
Science,22/10/2024,The brain collector: the scientist unravelling the mysteries of grey matter,https://www.theguardian.com/science/2024/oct/22/ancient-brain-collector-alexandra-morton-hayward-heslington
Society,18/10/2024,‘You are our champion’: solidarity springs up for Gisèle Pelicot around the world,https://www.theguardian.com/society/2024/oct/18/solidarity-for-gisele-pelicot-around-world-france-rape-trial
World news,29/10/2024,"Catholic church still failing to deal with sexual abuse cases, says Vatican report",https://www.theguardian.com/world/2024/oct/29/catholic-church-still-failing-to-deal-with-sexual-abuse-cases-says-vatican-report
US news,29/10/2024,"If Trump wins the election, Nato can expect more turbulence ahead",https://www.theguardian.com/us-news/2024/oct/29/if-trump-wins-the-election-nato-can-expect-more-turbulence-ahead
Art and design,08/10/2024,Anwar Hussein obituary,https://www.theguardian.com/artanddesign/2024/oct/08/anwar-hussein-obituary
Football,08/10/2024,Emotional Iniesta bids farewell after soaring career shared by a nation,https://www.theguardian.com/football/2024/oct/08/im-building-my-day-after-emotional-andres-iniesta-says-goodbye
World news,08/10/2024,Interpol campaign to identify remains of women in Europe expands to 46 cases,https://www.theguardian.com/world/2024/oct/08/interpol-police-campaign-to-identify-women-europe-cold-cases
Opinion,08/10/2024,Look at this photo of Ursula von der Leyen’s new team – and tell me the EU doesn’t have a diversity problem  | Shada Islam,https://www.theguardian.com/commentisfree/2024/oct/08/eu-ursula-von-der-leyen-diversity-recruitment
World news,24/10/2024,"Muslims in Europe experiencing ‘worrying surge’ in racism, survey finds",https://www.theguardian.com/world/2024/oct/24/muslims-in-europe-experiencing-worrying-surge-in-racism-survey-finds
Football,15/10/2024,Kylian Mbappé reacts with fury at Swedish reports of rape claim,https://www.theguardian.com/football/2024/oct/15/kylian-mbappe-reacts-in-fury-at-swedish-reports-of-claim
Opinion,15/10/2024,Young Australians aged 18 to 21 can vote. They should also be paid an adult wage | Intifar Chowdhury,https://www.theguardian.com/commentisfree/2024/oct/16/australia-junior-pay-rate-wages-salary
World news,15/10/2024,Journalist or Russian spy? The strange case of Pablo González,https://www.theguardian.com/world/2024/oct/15/journalist-russian-spy-pablo-gonzalez-kremlin-illegal
Business,25/10/2024,"Brexit has put £370m a year on price of power from EU since 2021, experts say",https://www.theguardian.com/business/2024/oct/25/brexit-has-put-370m-a-year-on-price-of-power-from-eu-since-2021-experts-say
Opinion,25/10/2024,A prime minister defending immigration? It can happen. It just did here in Spain | María Ramírez,https://www.theguardian.com/commentisfree/2024/oct/25/spain-immigration-prime-minister-pedro-sanchez
