Section Name,Date,Web Title,Web URL
World news,31/10/2024,Thursday briefing: What you need to know about Rachel Reeves’s plans for the economy,https://www.theguardian.com/world/2024/oct/31/thursday-briefing-what-you-need-to-know-about-rachel-reevess-plans-for-the-economy
World news,31/10/2024,"Ukraine war briefing: ‘Pentagon leaker’ Jack Teixeira deserves 17 years in jail, argue prosecutors",https://www.theguardian.com/world/2024/oct/31/ukraine-war-briefing-pentagon-leaker-jack-teixeira-deserves-17-years-in-jail-argue-prosecutors
Sport,13/10/2024,Tackles and textbooks: inside the UK’s NFL dream factory,https://www.theguardian.com/sport/2024/oct/13/tackles-and-textbooks-inside-the-uk-nfl-dream-factory
World news,17/10/2024,Labour backtracks on push for genocide ruling on China’s treatment of Uyghurs,https://www.theguardian.com/world/2024/oct/17/labour-backtracks-genocide-ruling-china-uyghurs-lammy-visit
Film,03/10/2024,"Time tunnels, bathing in blood and wonton soup: movies about the search for eternal youth – ranked! ",https://www.theguardian.com/film/2024/oct/03/time-tunnels-bathing-in-blood-and-wonton-soup-movies-about-the-search-for-eternal-youth-ranked
Business,20/10/2024,Jane Street Capital: the trader paying its interns more than Keir Starmer,https://www.theguardian.com/business/2024/oct/20/jane-street-who-are-the-traders-paying-interns-more-than-keir-starmer
Football,10/10/2024,Reading sale jeopardised by owner Dai Yongge’s £55m debt to Chinese bank,https://www.theguardian.com/football/2024/oct/10/reading-owner-dai-yongge-debt-chinese-bank-sale
Environment,22/10/2024,"Urban green spaces have vital role in cutting heat-related deaths, study finds",https://www.theguardian.com/environment/2024/oct/22/urban-green-spaces-vital-role-cutting-heat-related-deaths-study
World news,22/10/2024,Uyghur activist accuses Labour of failing to stand up to China,https://www.theguardian.com/world/2024/oct/22/uyghur-activist-accuses-labour-of-failing-to-stand-up-to-china
Business,22/10/2024,HSBC splits operations into east and west divisions in major overhaul,https://www.theguardian.com/business/2024/oct/22/hsbc-divides-into-four-business-in-major-overhaul-of-operations
Film,29/10/2024,Dick Pope obituary,https://www.theguardian.com/film/2024/oct/29/dick-pope-obituary
Sport,29/10/2024,Katie Boulter ends taxing year as leader of British women’s tennis | Tumaini Carayol,https://www.theguardian.com/sport/2024/oct/29/tennis-katie-boulter-ends-year-leader-of-british-womens-despite-hurdles
Stage,29/10/2024,Small step or a giant leap? What AI means for the dance world,https://www.theguardian.com/stage/2024/oct/29/small-step-or-a-giant-leap-what-ai-means-for-the-dance-world
Business,29/10/2024,HSBC denies breakup plan as it launches $3bn share buyback,https://www.theguardian.com/business/2024/oct/29/hsbc-share-buyback-profits-bank
Film,08/10/2024,Stuntman review – spirited love letter to golden age of Hong Kong’s action movies,https://www.theguardian.com/film/2024/oct/08/stuntman-review-spirited-love-letter-to-golden-age-of-hong-kongs-action-movies-stephen-tung
Business,08/10/2024,Saudi wealth fund buys 40% stake in Selfridges department store,https://www.theguardian.com/business/2024/oct/08/saudi-wealth-fund-buys-stake-selfridges-department-store
Opinion,08/10/2024,Britain needs to abandon its delusions of empire – giving up the Chagos Islands is a good start | Simon Jenkins,https://www.theguardian.com/commentisfree/2024/oct/08/britain-empire-chagos-islands-labour-overseas-territories
US news,08/10/2024,Harris says no Ukraine peace without Kyiv at the table in 60 Minutes interview,https://www.theguardian.com/us-news/2024/oct/08/kamala-harris-faces-60-minutes-grilling-over-economic-plans-and-whether-netanyahu-is-an-ally
Opinion,24/10/2024,The fuss about Lidia Thorpe mispronouncing a word distracts from a more important question | Helen Irving,https://www.theguardian.com/commentisfree/2024/oct/25/the-fuss-about-lidia-thorpe-mispronouncing-a-word-distracts-from-a-more-important-question
Books,24/10/2024,Richard Woodman obituary,https://www.theguardian.com/books/2024/oct/24/richard-woodman-obituary
World news,24/10/2024,Hong Kong unearths its first ever dinosaur fossils,https://www.theguardian.com/world/2024/oct/24/hong-kong-first-dinosaur-fossils-found-port-island
Australia news,24/10/2024,Afternoon Update: Trump accused of groping model; Lidia Thorpe claims she misspoke; and NGA’s most expensive artwork,https://www.theguardian.com/australia-news/2024/oct/24/afternoon-update-thursday-ntwnfb
Art and design,24/10/2024,National Gallery of Australia’s $14m behemoth artwork unveiled – and it’s a showstopper,https://www.theguardian.com/artanddesign/2024/oct/24/national-gallery-of-australia-lindy-lee-ouroboros-sculpture
World news,15/10/2024,Chinese film star Fan Bingbing to make comeback after five-year purgatory,https://www.theguardian.com/world/2024/oct/15/fan-bingbing-chinese-film-star-comeback-five-year-purgatory
Society,07/10/2024,"Rises in life expectancy have slowed dramatically, analysis finds",https://www.theguardian.com/society/2024/oct/07/rises-in-life-expectancy-have-slowed-dramatically-analysis-finds
UK news,07/10/2024,GP admits attempted murder of mother’s partner with fake Covid jab,https://www.theguardian.com/uk-news/2024/oct/07/gp-admits-attempted-of-mothers-partner-with-fake-covid-jab
Art and design,07/10/2024,"Outside Frieze’s big tent, the London art world faces severe headwinds",https://www.theguardian.com/artanddesign/2024/oct/07/outside-friezes-big-tent-the-london-art-world-faces-severe-headwinds
Art and design,06/10/2024,Paul Rudolph: the artful architect who inspired Foster and Rogers,https://www.theguardian.com/artanddesign/2024/oct/06/paul-rudolph-the-artful-architect-who-inspired-noman-foster-richard-rogers
Sport,23/10/2024,Emma Raducanu faces race to be fit for BJK Cup finals after latest withdrawal,https://www.theguardian.com/sport/2024/oct/23/emma-raducanu-faces-race-bjk-cup-finals-withdrawal-hong-kong-open-tennis
Australia news,23/10/2024,Afternoon Update: supermarkets blame others in fake discounts case; Pelicot to testify in French mass rape trial; and a chocolate taste test,https://www.theguardian.com/australia-news/2024/oct/23/afternoon-update-wednesday-ntwnfb
World news,23/10/2024,Australian judge’s speech met by protest over his role in Hong Kong’s appeal court,https://www.theguardian.com/world/2024/oct/23/australian-judges-speech-met-by-protest-over-his-role-in-hong-kongs-appeal-court
US news,02/10/2024,Trump aides believe a polished JD Vance made campaign more palatable,https://www.theguardian.com/us-news/2024/oct/02/vp-debate-jd-vance-performance-trump-campaign
US news,02/10/2024,"School shootings, childcare and cost of living: key takeaways from the Walz-Vance debate",https://www.theguardian.com/us-news/2024/oct/01/trump-vance-vp-debate-highlights
US news,02/10/2024,Walz and Vance clash over abortion and immigration in vice-presidential debate,https://www.theguardian.com/us-news/2024/oct/01/vice-presidential-debate-walz-vance
World news,01/10/2024,Xi Jinping forecasts ‘rough seas’ on 75th anniversary of People’s Republic of China,https://www.theguardian.com/world/2024/oct/01/xi-jinping-75th-anniversary-of-peoples-republic-of-china-speech-beijing
Art and design,11/10/2024,Colin Fournier obituary,https://www.theguardian.com/artanddesign/2024/oct/11/colin-fournier-obituary
Australia news,11/10/2024,Some Australian states are discovering what happens when they have too much rooftop solar,https://www.theguardian.com/australia-news/2024/oct/12/australian-states-too-much-rooftop-solar
World news,11/10/2024,Bella Ciao: a brief history of the resistance anthem sung to Viktor Orbán,https://www.theguardian.com/world/2024/oct/11/bella-ciao-resistance-anthem-history-meps-strasbourg-viktor-orban
Sport,30/10/2024,Jack Draper into Paris last 16 with hard-fought win over world No 6 Taylor Fritz,https://www.theguardian.com/sport/2024/oct/30/jack-draper-into-paris-last-16-with-hard-fought-win-over-world-no-6-taylor-fritz
Sport,30/10/2024,Katie Boulter wins tight contest to reach Hong Kong Open quarter-finals,https://www.theguardian.com/sport/2024/oct/30/katie-boulter-hong-kong-open-jack-draper-paris-masters-tennis
Politics,16/10/2024,"Sunak has checked out, leaving Starmer looking even more startled than usual | John Crace",https://www.theguardian.com/politics/2024/oct/16/rishi-sunak-starmer-startled-pmqs
Politics,16/10/2024,David Lammy urged to raise human rights concerns on China trip,https://www.theguardian.com/politics/2024/oct/16/david-lammy-human-rights-concerns-china-trip
US news,16/10/2024,Taiwan and trade: how China sees its future with the US after the election,https://www.theguardian.com/us-news/2024/oct/16/china-us-trade-harris-trump
Australia news,21/10/2024,"Morning Mail: elder says Thorpe lacked respect, Musk’s $1m voter ploy, Safran on squatting in Kanye West’s mansion",https://www.theguardian.com/australia-news/2024/oct/22/morning-mail-tuesday-ntwnfb
World news,12/10/2024,China cracks down on Communist party officials for reading banned books,https://www.theguardian.com/world/2024/oct/12/china-communist-party-banned-books-rules-xi-jinping
US news,14/10/2024,Woman pleads guilty over attempt to smuggle turtles by kayak into Canada,https://www.theguardian.com/us-news/2024/oct/14/turtle-smuggling-canada
Business,14/10/2024,Water firm blocks drinks-makers in Suffolk from expanding supply,https://www.theguardian.com/business/2024/oct/14/water-supply-small-companies-drinks-makers-suffolk
Business,09/10/2024,Chinese stocks suffer worst fall in 27 years over growth concerns,https://www.theguardian.com/world/2024/oct/09/chinese-stocks-suffer-worst-fall-in-27-years-over-growth-concerns
