Section Name,Date,Web Title,Web URL
Environment,31/10/2024,"Concerned about your data use? Here is the carbon footprint of an average day of emails, WhatsApps and more",https://www.theguardian.com/environment/2024/oct/31/concerned-about-your-data-use-here-is-the-carbon-footprint-of-an-average-day-of-emails-whatsapps-and-more
Business,13/10/2024,‘Very concerning’: BP dilutes net zero targets as global retreat from green standards gathers pace,https://www.theguardian.com/business/2024/oct/13/very-concerning-bp-dilutes-net-zero-targets-as-global-retreat-from-green-standards-gathers-pace
News,17/10/2024,Corrections and clarifications,https://www.theguardian.com/news/2024/oct/17/corrections-and-clarifications
Environment,04/10/2024,"What is carbon capture, usage and storage?",https://www.theguardian.com/environment/2023/mar/30/what-is-carbon-capture-usage-and-storage
World news,04/10/2024,Antarctica is ‘greening’ at dramatic rate as climate heats,https://www.theguardian.com/world/2024/oct/04/antarctic-plant-cover-growing-at-dramatic-rate-as-climate-heats
Australia news,04/10/2024,"Gap in Albanese government’s new fuel efficiency rules means ‘biggest, dirtiest polluters’ exempt",https://www.theguardian.com/australia-news/2024/oct/04/fuel-efficiency-standard-laws-nves-albanese-government-exemptions
Australia news,18/10/2024,Queensland’s reliance on coal is back on the agenda and conservationists are firing up,https://www.theguardian.com/australia-news/2024/oct/19/queensland-election-lnp-labor-energy-climate-policies
Environment,18/10/2024,UK should ‘repurpose’ Belfast shipyard to make green infrastructure,https://www.theguardian.com/environment/2024/oct/18/uk-should-repurpose-belfast-shipyard-to-make-green-infrastructure
Environment,29/10/2024,BYD’s hybrid EV ute that could rival Australia’s bestselling vehicles goes on sale,https://www.theguardian.com/environment/2024/oct/30/byd-shark-6-price-ute-hybrid-ev-australia
Environment,29/10/2024,"Let’s be clear, Peter Dutton’s energy plan is more focused on coal and gas than it is on nuclear power | Adam Morton",https://www.theguardian.com/environment/commentisfree/2024/oct/29/peter-dutton-nuclear-power-plan-coal
Environment,08/10/2024,"Earth’s ‘vital signs’ show humanity’s future in balance, say climate experts",https://www.theguardian.com/environment/2024/oct/08/earths-vital-signs-show-humanitys-future-in-balance-say-climate-experts
Environment,27/10/2024,"Corporations using ‘ineffectual’ carbon offsets are slowing path to ‘real zero’, more than 60 climate scientists say",https://www.theguardian.com/environment/2024/oct/28/corporations-using-ineffectual-carbon-offsets-are-slowing-path-to-real-zero-more-than-60-climate-scientists-say
News,24/10/2024,Weatherwatch: On the brink of overshooting the 1.5C climate target ,https://www.theguardian.com/news/2024/oct/24/weatherwatch-on-the-brink-of-overshooting-the-15c-climate-target
Environment,15/10/2024,Carbon capture plan is a colossal waste of money | Letters,https://www.theguardian.com/environment/2024/oct/15/carbon-capture-plan-is-a-colossal-waste-of-money
Business,15/10/2024,BMW chief says EU combustion engine ban will shrink car industry,https://www.theguardian.com/business/2024/oct/15/bmw-chief-eu-combustion-engine-ban-car-industry
US news,15/10/2024,Pelosi says she hasn’t spoken to Biden since pressuring him to drop out | First Thing,https://www.theguardian.com/us-news/2024/oct/15/first-thing-pelosi-hasnt-spoken-biden-pressuring-drop-out
Environment,25/10/2024,"Sliver of cool surface water 2mm deep helps oceans absorb CO2, say scientists",https://www.theguardian.com/environment/2024/oct/25/ocean-skin-cool-surface-water-deep-helps-absorb-co2
The Superb Just Got Superber,25/10/2024,A love of listening and driving: what does a day in the life of a fleet manager look like?,https://www.theguardian.com/the-superb-just-got-superber/2024/oct/25/a-love-of-listening-and-driving-what-does-a-day-in-the-life-of-a-fleet-manager-look-like
Film,19/10/2024,"Before superhero movies, directors were masters of the universe – now you can find them cowering in their trailers",https://www.theguardian.com/film/2024/oct/19/the-franchise-superhero-comic-book-movies-marina-hyde
Business,07/10/2024,"UK’s £22bn carbon capture pledge follows surge in lobbying by fossil fuel industry, records show",https://www.theguardian.com/business/2024/oct/07/uks-22bn-carbon-capture-pledge-follows-surge-in-lobbying-by-fossil-fuel-industry-records-show
News,23/10/2024,India: the new rogue nation? Inside the 25 October Guardian Weekly,https://www.theguardian.com/news/2024/oct/23/india-the-new-rogue-nation-inside-the-25-october-guardian-weekly
Environment,23/10/2024,Bill Maher puts the fate of the Great Barrier Reef in the spotlight – but do the claims stack up? | Temperature Check,https://www.theguardian.com/environment/2024/oct/24/bill-maher-great-barrier-reef-bjorn-lomborg-claims-temperature-check
Environment,23/10/2024,‘We don’t know where the tipping point is’: climate expert on potential collapse of Atlantic circulation,https://www.theguardian.com/environment/2024/oct/23/we-dont-know-where-the-tipping-point-is-climate-expert-on-potential-collapse-of-atlantic-circulation
US news,23/10/2024,Harris says the US is ‘absolutely’ ready for a female president | First Thing,https://www.theguardian.com/us-news/2024/oct/23/first-thing-kamala-harris-says-us-absolutely-ready-for-female-president
Politics,23/10/2024,Lady Scotland urges Commonwealth members to continue climate action support,https://www.theguardian.com/politics/2024/oct/23/lady-scotland-urges-commonwealth-members-to-continue-climate-action-support
Environment,23/10/2024,"Cop29 host Azerbaijan set for major fossil gas expansion, report says",https://www.theguardian.com/environment/2024/oct/23/cop29-host-azerbaijan-set-for-major-fossil-gas-expansion-report-says
Business,02/10/2024,Plibersek’s coalmine decision is double trouble for climate and housing | Grogonomics,https://www.theguardian.com/business/grogonomics/2024/oct/03/tanya-plibersek-coalmine-decision-climate-housing-emissions
Business,01/10/2024,"Private equity firms ploughing billions into fossil fuels, analysis reveals",https://www.theguardian.com/business/2024/oct/01/private-equity-firms-us-pensions-fossil-fuel-projects
Environment,28/10/2024,Planet-heating pollutants in atmosphere hit record levels in 2023,https://www.theguardian.com/environment/2024/oct/28/planet-heating-pollutants-in-atmosphere-hit-record-levels-in-2023
Environment,28/10/2024,"Carbon emissions of richest 1% increase hunger, poverty and deaths, says Oxfam",https://www.theguardian.com/environment/2024/oct/28/carbon-emissions-of-richest-1-increase-hunger-poverty-and-deaths-says-oxfam
Australia news,11/10/2024,Proposal for largest coal project in NSW withdrawn after emissions concerns raised,https://www.theguardian.com/australia-news/2024/oct/11/glencore-yancoal-mine-project-withdrawn-emissions-hunter-valley-operations
