Section Name,Date,Web Title,Web URL
Football,13/10/2024,Football documentaries: players own narrative but what do we actually learn? | Xaymaca Awoyungbo,https://www.theguardian.com/football/2024/oct/13/football-documentaries-players-own-narrative-but-what-do-we-actually-learn
Australia news,20/10/2024,The ‘active transport’ ideas from around the world that could make Australians healthier and our cities cleaner,https://www.theguardian.com/australia-news/2024/oct/21/the-active-transport-ideas-from-around-the-world-that-could-make-australians-healthier-and-our-cities-cleaner
Books,20/10/2024,Tell Me Everything by Elizabeth Strout review – characters that never grow old,https://www.theguardian.com/books/2024/oct/20/tell-me-everything-by-elizabeth-strout-review-characters-that-never-grow-old
Football,10/10/2024,Carsley: Full Throttle – a weird attempt to reinvent was a tactical backfire | Barney Ronay,https://www.theguardian.com/football/2024/oct/10/carsley-full-throttle-weird-attempt-reinvent-tactical-backfire-england-greece
World news,18/10/2024,Paris SUV driver charged with murder after cyclist run over,https://www.theguardian.com/world/2024/oct/18/paris-suv-driver-charged-with-after-cyclist-run-over
Politics,27/10/2024,How an English extremist with a Hitler tattoo hid in plain sight – and plotted to kill,https://www.theguardian.com/politics/2024/oct/27/callum-parslow-nazi-racist-terrorist-who-plotted-to-kill-hid-in-plain-sight
UK news,19/10/2024,‘I was completely vulnerable’: woman tells of alleged abuse by ‘counsellor’ ,https://www.theguardian.com/uk-news/2024/oct/19/i-was-completely-vulnerable-woman-tells-of-alleged-abuse-by-counsellor
Books,07/10/2024,"‘If I have a fault, it’s that I’m too honest’ – Boris Johnson’s Unleashed, digested by John Crace",https://www.theguardian.com/books/2024/oct/07/boris-johnson-unleashed-memoir-digested-read-john-crace
Travel,07/10/2024,Island-hopping in Croatia: adrift in the Šibenik archipelago,https://www.theguardian.com/travel/2024/oct/07/island-hopping-in-croatia-adrift-in-the-sibenik-archipelago
Television & radio,06/10/2024,Showtrial season two review – this outrageous legal drama sucks you straight back in,https://www.theguardian.com/tv-and-radio/2024/oct/06/bbc-showtrial-season-two-review-this-ott-legal-drama-sucks-you-straight-back-in
Art and design,06/10/2024,The big picture: Melanie Friend encounters a changing China,https://www.theguardian.com/artanddesign/2024/oct/06/the-big-picture-melanie-friend-encounters-a-changing-china
World news,01/10/2024,Six killed and 10 wounded in shooting and knife attack in Israeli city of Jaffa,https://www.theguardian.com/world/2024/oct/01/shooting-knife-attack-israeli-seaside-city-of-jaffa
Books,01/10/2024,Ross Raisin’s Ghost Kitchen wins 2024 BBC national short story award with dark gig economy tale – read it here,https://www.theguardian.com/books/2024/oct/01/ross-raisin-ghost-kitchen-wins-2024-bbc-national-short-story-award-with-dark-gig-economy-tale-read-it-here
Football,30/10/2024,Old habits die hard in Turkish football despite wonderkids thriving abroad | Michael Butler,https://www.theguardian.com/football/2024/oct/30/old-habits-die-hard-in-turkish-football-despite-wonderkids-thriving-abroad
World news,16/10/2024,Murder investigation opened after motorist ‘runs over’ cyclist in Paris,https://www.theguardian.com/world/2024/oct/16/investigation-opened-after-motorist-runs-over-cyclist-in-paris
